Data,Equalizacao,Eq D-1,SAO,Afluente,LZAM,Sanitario,Aeracao,Vol Eq,Vol Aera,Efluente D-1,phEntrada D-1,phNeutralizacao D-1,phEqualizacao D-1,phAeracao D-1,OD D-1,phEntrada,phNeutralizacao,phEqualizacao,phAeracao,OD,VLodoSD30,VAeracao,VEqualizacao,Efluente Final,DiasDescarte,Desenquadrou
10/25/2018,419,1554,70,,,,,,,106,10.1,10,7,7,3.03,5.5,2,6.2,7.2,2.98,900,330,636,144,13,0
10/26/2018,293,419,62,,,,,,,144,5.5,2,6.2,7.2,2.98,6,2,7,7.1,2.91,900,256,642,128,14,0
10/27/2018,566,293,59,,,,,,,128,6,2,7,7.1,2.91,9.8,7.5,6.5,7.2,2.89,900,272,636,67,15,0
10/29/2018,159,566,50,,,,,,,67,9.8,7.5,6.5,7.2,2.89,10.5,10.5,7,7,2.88,890,412,636,120,16,0
10/30/2018,160,159,25,,,,,,,120,10.5,10.5,7,7,2.88,5.1,10,7,7,3.02,900,328,638,198,17,0
10/31/2018,175,160,24,,,,,,,198,5.1,10,7,7,3.02,,,,,,,,,62,18,0
11/1/2018,203,175,23,,,,,,,62,,,,,,10,7.5,6.5,7.1,2.94,900,226,634,115,19,0
11/3/2018,268,203,62,,,,,,,115,10,7.5,6.5,7.1,2.94,5.9,6.3,7,6.9,3.08,900,244,642,101,20,0
11/5/2018,300,268,66,,,,,,,101,5.9,6.3,7,6.9,3.08,9,3,7,7.2,2.91,900,356,640,75,21,0
11/6/2018,166,300,73,,,,,,,75,9,3,7,7.2,2.91,10,9.5,6.5,7,2.85,900,246,636,175,22,0
11/7/2018,335,166,56,,,,,,,175,10,9.5,6.5,7,2.85,7.4,12,7.5,7.3,3.03,920,218,638,112,0,0
11/8/2018,592,335,51,,,,,,,112,7.4,12,7.5,7.3,3.03,6.9,5,7,7.2,2.9,900,560,650,72,1,0
11/9/2018,348,592,57,,,,,,,72,6.9,5,7,7.2,2.9,7.5,9.5,6.8,7.3,3.05,910,500,660,71,2,0
11/10/2018,351,348,40,,,,,,,71,7.5,9.5,6.8,7.3,3.05,11,5.5,8.5,7.2,3.06,910,562,658,180,3,0
11/12/2018,167,351,45,,,,,,,180,11,5.5,8.5,7.2,3.06,10,10,7.5,7.3,2.79,910,420,644,120,4,0
11/13/2018,197,167,49,,,,,,,120,10,10,7.5,7.3,2.79,10,10,8,7,3,900,294,636,68,5,0
11/14/2018,189,197,51,,,,,,,68,10,10,8,7,3,,,,,,,,,88,6,0
11/16/2018,735,189,29,,,,,,,88,,,,,,11.5,8,10,7,3.1,910,298,646,108,7,0
11/17/2018,545,735,34,,,,,,,108,11.5,8,10,7,3.1,10.6,9,8,7,3.15,910,208,636,89,8,0
11/19/2018,105,545,18,,,,,,,89,10.6,9,8,7,3.15,9.9,7,7,7,3.04,900,228,640,45,9,0
11/21/2018,83,105,19,,,,,,,45,9.9,7,7,7,3.04,3.7,4,6,7,3.2,910,500,646,109,10,0
11/22/2018,160,83,25,,,,,,,109,3.7,4,6,7,3.2,4,4,7,7,3,900,410,636,76,11,0
11/23/2018,141,160,25,,,,,,,76,4,4,7,7,3,10.4,4,7,7,2.5,910,324,634,84,12,0
11/24/2018,128,141,27,,,,,,,84,10.4,4,7,7,2.5,9.9,5,7,7.5,2.7,910,220,632,100,13,0
11/25/2018,130,128,50,,,,,,,100,9.9,5,7,7.5,2.7,,,,,,,,,95,14,0
11/26/2018,130,130,50,,,,,,,95,,,,,,,,,,,,,,95,15,0
11/27/2018,100,130,124,,,,,,,95,,,,,,,,,,,,,,155,16,0
11/28/2018,100,100,90,,,,,,,155,,,,,,,,,,,,,,54,17,0
11/29/2018,,100,,,,,,,,54,,,,,,,,,,,,,,,18,0
11/30/2018,,,,,,,,,,0,,,,,,,,,,,,,,,19,0
12/3/2018,131,,80,,,,,,,0,,,,,,5.9,4,7,7,2.8,910,474,632,64,20,0
12/4/2018,115,131,73,,,,,,,64,5.9,4,7,7,2.8,6,8,7,7,2.84,910,414,652,83,21,0
12/5/2018,138,115,69,,,,,,,83,6,8,7,7,2.84,5.1,6,7,7,2.98,920,348,648,229,22,0
12/7/2018,194,138,77,,,,,,,229,5.1,6,7,7,2.98,6,2,6,7,2.75,900,286,634,51,23,0
12/10/2018,123,194,44,,,,,,,51,6,2,6,7,2.75,,,,,,,,,50,24,0
12/11/2018,109,123,66,,,,,,,50,,,,,,8.2,5,6,7,2.85,920,432,654,90,0,0
12/12/2018,86,109,53,,,,,,,90,8.2,5,6,7,2.85,8.4,6,7,7,2.71,900,362,656,139,1,0
12/13/2018,157,86,68,,,,,,,139,8.4,6,7,7,2.71,8.4,5,6,7,2.58,890,262,632,97,2,0
12/14/2018,247,157,46,,,,,,,97,8.4,5,6,7,2.58,7.1,7,7,7,2.8,910,266,632,108,3,0
12/18/2018,140,247,48,,,,,,,108,7.1,7,7,7,2.8,10.2,7,7,7,2.9,910,350,652,176,4,0
12/19/2018,93,140,82,,,,,,,176,10.2,7,7,7,2.9,7.9,5,7,7,2.54,890,264,636,61,5,0
12/20/2018,176,93,59,,,,,,,61,7.9,5,7,7,2.54,6.5,6,7,7,2.9,900,230,636,213,6,0
12/21/2018,186,176,68,,,,,,,213,6.5,6,7,7,2.9,6.7,5,7,7,2.9,910,240,638,221,7,0
12/26/2018,174,186,84,,,,,,,221,6.7,5,7,7,2.9,6.3,5,6,7,2.65,900,326,640,106,8,0
12/28/2018,145,174,68,,,,,,,106,6.3,5,6,7,2.65,10.6,10,7,7,2.5,890,194,634,187,9,0
12/31/2018,186,145,55,,,,,,,187,10.6,10,7,7,2.5,10.4,7,7,7,2.99,920,264,650,375,10,1
1/2/2019,90,186,500,,,,,,,375,10.4,7,7,7,2.99,8.2,5,6,7,2.98,910,670,664,81,11,0
1/3/2019,108,90,46,,,,,,,81,8.2,5,6,7,2.98,11.1,8,7,7,2.93,920,562,650,158,12,0
1/7/2019,100,108,62,,,,,,,158,11.1,8,7,7,2.93,4.5,3,6,7,3,930,302,638,142,13,0
1/8/2019,142,100,25,,,,,,,142,4.5,3,6,7,3,12.7,9,7,7,2.89,920,220,638,197,14,0
1/9/2019,136,142,44,,,,,,,197,12.7,9,7,7,2.89,6.9,8,7,7,2.75,880,198,636,89,15,0
1/10/2019,185,136,35,,,,,,,89,6.9,8,7,7,2.75,8.3,6,7,7,2.73,900,220,632,70,16,0
1/11/2019,209,185,25,,,,,,,70,8.3,6,7,7,2.73,6,4,7,7,2.88,910,218,636,129,17,0
1/12/2019,170,209,62,,,,,,,129,6,4,7,7,2.88,5,4,7,7,3.1,920,172,634,95,18,0
1/13/2019,109,170,80,,,,,,,95,5,4,7,7,3.1,,,,,,,,,144,19,0
1/15/2019,191,109,42,,,,,,,144,,,,,,12.5,13,10,7,2.73,880,252,636,49,1,0
1/16/2019,279,191,37,,,,,,,49,12.5,13,10,7,2.73,6.1,12,8,7.5,2.95,910,206,638,186,2,0
1/17/2019,625,279,86,,,,,,,186,6.1,12,8,7.5,2.95,10,12,7,7,2.9,910,256,640,112,3,0
1/18/2019,583,625,77,,,,,,,112,10,12,7,7,2.9,2.3,3,7,7,2.79,900,232,634,235,4,0
1/19/2019,791,583,80,,,,,,,235,2.3,3,7,7,2.79,8.9,6,6,7,2.8,900,228,636,189,5,0
1/21/2019,127,791,81,,,,,,,189,8.9,6,6,7,2.8,9.4,5,7,7,2.9,900,334,642,220,6,0
1/22/2019,176,127,81,,,,,,,220,9.4,5,7,7,2.9,8.3,7,8,7,2.96,910,358,636,140,7,0
1/23/2019,225,176,76,,,,,,,140,8.3,7,8,7,2.96,10,9,7,7,2.8,900,314,636,103,8,0
1/24/2019,221,225,76,,,,,,,103,10,9,7,7,2.8,11.5,10,7,7,2.5,870,232,634,138,9,0
1/25/2019,406,221,62,,,,,,,138,11.5,10,7,7,2.5,9.3,12,7,7,2.63,890,226,632,145,10,0
1/26/2019,225,406,76,,,,,,,145,9.3,12,7,7,2.63,8.7,11,7,7,2.72,900,262,638,103,11,0
1/27/2019,221,225,76,,,,,,,103,8.7,11,7,7,2.72,,,,,,,,,138,12,0
1/28/2019,406,221,62,,,,,,,138,,,,,,9.6,9,7,7,2.8,900,218,628,145,13,0
1/29/2019,397,406,75,,,,,,,145,9.6,9,7,7,2.8,8.5,8,7,7,2.6,850,192,632,235,14,0
1/30/2019,491,397,94,,,,,,,235,8.5,8,7,7,2.6,9.5,6,8,7,2.7,870,200,632,193,15,0
2/4/2019,280,491,56,,,,,,,193,9.5,6,8,7,2.7,9.1,7,7,7,2.85,890,246,638,149,16,0
2/5/2019,302,280,32,,,,,,,149,9.1,7,7,7,2.85,5.3,5,6,7,2.7,870,740,674,113,17,0
2/6/2019,230,302,88,,,,,,,113,5.3,5,6,7,2.7,6.6,10,7,7,2.75,870,626,636,77,18,0
2/7/2019,116,230,48,,,,,,,77,6.6,10,7,7,2.75,4.4,5,6,7,2.8,900,646,644,101,19,0
2/8/2019,161,116,41,,,,,,,101,4.4,5,6,7,2.8,10.5,10,6,7,2.91,910,534,628,102,20,0
2/11/2019,170,161,26,,,,,,,102,10.5,10,6,7,2.91,9.2,6,7,7,3.05,920,440,628,88,21,0
2/12/2019,124,170,29,,,,,,,88,9.2,6,7,7,3.05,8.8,7,7,7,2.92,910,340,630,60,22,0
2/13/2019,435,124,42,,,,,,,60,8.8,7,7,7,2.92,4.2,7,7,7,3.1,910,384,642,168,23,0
